table,variable,research_name,sensor_units,final_units,conversion,low_bound,high_bound,description
ClimaVue50_24hr,TiltWE_deg_TMx,,,,x * 1,,,Time of maximum degree of sensor tilt in the E/W direction over 24 hr period
ClimaVue50_24hr,TiltWE_deg_Min,,degrees,degrees,x * 1,-90,90,Minimum degree of sensor tilt in the E/W direction over 24 hr period
ClimaVue50_24hr,PAR_Den_C_Avg,wx_par_den24,µmol/m2/s,µmol/m2/s,x * 1,0,2000,Average photosynthetically active radiation (PAR) flux density over 24 hr period; site specific correction factor applied
ClimaVue50_24hr,PAR_Tot_C_Tot,wx_par_tot24,mmol/m2,mmol/m2,x * 1,,,Sum of total photosynthetically active radiation (PAR) flux density over 24 hr period
ClimaVue50_24hr,CVMeta,,,,,,,"Current configuration of ClimaVue sensors (serial number, etc). Format is a13CAMPBELLCLIM50xxxxxx-yyyyyyyyy, where a is the SDI-12 address, xxxxxx is the model, and yyyyyyyyy is the serial number."
GCREW_MET_15min,VPD,wx_vpd15,Pa,Pa,x * 1,,,Vapor pressure deficiti; from the GCREW met station and only appears at GCW-W
GCREW_MET_15min,SVP,wx_svp15,Pa,Pa,x * 1,,,Saturated vapor pressure deficiti; from the GCREW met station and only appears at GCW-W
GCREW_MET_15min,WS_ms_RM_Min,wx_minws15,m/s,m/s,x * 1,0,30,Maximum wind speed in 15 minute period; from the GCREW met station and only appears at GCW-W
GCREW_MET_15min,Rain_cm_Tot,wx_gcrew_rain15,cm,cm,x * 1,0,960,Total rain over 15 minute period IN CENTIMETERS; from the GCREW met station and only appears at GCW-W
ExoTable,Conductivity,sonde_conductivity,,,x * 1,,,
ExoTable,FDOM_QSU,sonde_fdom,QSU,QSU,x * 1,0,300,"Fluorescent dissolved organic matter concentration, Quinine Sulfate Units"
ExoTable,FDOM_RFU,sonde_fdom_rfu,RFU,RFU,x * 1,0,100,"Fluorescent dissolved organic matter concentration, Relative Fluorescent Units"
ExoTable,NLF_conductivity,sonde_nlf_cond,,,x * 1,,,
ExoTable,ODO_sat,sonde_odo_sat,%,%,x * 1,0,200,"Dissolved oxygen concentration, percent air saturation"
ExoTable,ODO_local,sonde_odo_local,,,x * 1,,,
ExoTable,ODO_MgL,sonde_odo_mgl,mg/L,mg/L,x * 1,0,50,"Dissolved oxygen concentration, milligrams per liter"
ExoTable,Pressure_psia,sonde_pressure,psia,psia,x * 1,,,Water pressure
ExoTable,Salinity_PPT,sonde_salinity,ppt,ppt,x * 1,,,Water salinity
ExoTable,Specific_Conductivity_uScm,sonde_spcond,µS/cm,µS/cm,x * 1,0,100000,Water specific conductivity
ExoTable,Wiper_Position_mv,sonde_wiperpos,mV,mV,x * 1,,,
ExoTable,pH,sonde_ph,unitless,unitless,x * 1,0,14,Water pH
ExoTable,pH_mv,sonde_ph_mv,mV,mV,x * 1,,,
ExoTable,Temp_C,sonde_temp,C,C,x * 1,-5,50,Water temperature
ExoTable,Depth_m,sonde_depth,m,m,x * 1,0,10,Sonde depth
ExoTable,Battery_v,sonde_battery,V,V,x * 1,,,Sonde battery voltage
ExoTable,Cable_v,sonde_cable,V,V,x * 1,,,Sonde cable power
ExoTable,Wiper_Current_ma,sonde_wipercur,mA,mA,x * 1,,,Wiper brush current
ExoTable,TSS_MgL,sonde_tss,mg/L,mg/L,x * 1,,,Total suspended solids concentration
ExoTable,ORP_mv,sonde_orp,mV,mV,x * 1,-999,999,Water oxidation reduction potential
ExoTable,TDS_mg_L,sonde_tds,mg/L,mg/L,x * 1,,,Total dissolved solids concentration
ExoTable,Vertical_Position_m,sonde_vpos,m,m,x * 1,,,
ExoTable,Turbidity_FNU,sonde_turbidity,FNU,FNU,x * 1,0,4000,"Turbidity, indirect measurement of the suspended solid concentration in water"
ExoTable,Turbidity_Raw,sonde_turb_raw,,,x * 1,,,
